rebalance_date,ticker,rank,selected_flag
2013-04-01,NFLX,1.0,1
2013-04-01,MJN,2.0,1
2013-04-01,SWY,3.0,1
2013-04-01,DELL,4.0,1
2013-04-01,FSLR,5.0,1
2013-04-01,CPB,6.0,1
2013-04-01,AVY,7.0,1
2013-04-01,CVH,8.0,1
2013-04-01,HRL,9.0,1
2013-04-01,HAS,10.0,1
2013-04-01,CINF,11.0,1
2013-04-01,LUV,12.0,1
2013-04-01,GPC,13.0,1
2013-04-01,K,14.0,1
2013-04-01,UNM,15.0,1
2013-04-01,WY,16.0,1
2013-04-01,NOC,17.0,1
2013-04-01,NTRS,18.0,1
2013-04-01,BK,19.0,1
2013-04-01,BMS,20.0,1
2013-04-29,NFLX,1.0,1
2013-04-29,MJN,2.0,1
2013-04-29,FSLR,3.0,1
2013-04-29,DELL,4.0,1
2013-04-29,CPB,5.0,1
2013-04-29,HAS,6.0,1
2013-04-29,AVY,7.0,1
2013-04-29,HRL,8.0,1
2013-04-29,SWY,9.0,1
2013-04-29,CVH,10.0,1
2013-04-29,CINF,11.0,1
2013-04-29,LUV,12.0,1
2013-04-29,PEG,13.0,1
2013-04-29,CMG,14.0,1
2013-04-29,BSX,15.0,1
2013-04-29,KMB,16.0,1
2013-04-29,K,17.0,1
2013-04-29,GPC,18.0,1
2013-04-29,DNB,19.0,1
2013-04-29,LEG,20.0,1
2013-05-28,MJN,1.0,1
2013-05-28,NFLX,2.0,1
2013-05-28,FSLR,3.0,1
2013-05-28,AMD,4.0,1
2013-05-28,DELL,5.0,1
2013-05-28,CPB,6.0,1
2013-05-28,LUV,7.0,1
2013-05-28,HAS,8.0,1
2013-05-28,DNB,9.0,1
2013-05-28,SWY,10.0,1
2013-05-28,BSX,11.0,1
2013-05-28,AVY,12.0,1
2013-05-28,AVP,13.0,1
2013-05-28,HRL,14.0,1
2013-05-28,CINF,15.0,1
2013-05-28,NOC,16.0,1
2013-05-28,PEG,17.0,1
2013-05-28,GPC,18.0,1
2013-05-28,UNM,19.0,1
2013-05-28,KMB,20.0,1
2013-06-24,MJN,1.0,1
2013-06-24,NFLX,2.0,1
2013-06-24,AMD,3.0,1
2013-06-24,FSLR,4.0,1
2013-06-24,DELL,5.0,1
2013-06-24,CPB,6.0,1
2013-06-24,BSX,7.0,1
2013-06-24,SWY,8.0,1
2013-06-24,PAYX,9.0,1
2013-06-24,HAS,10.0,1
2013-06-24,UNM,11.0,1
2013-06-24,PBCT,12.0,1
2013-06-24,KMB,13.0,1
2013-06-24,CME,14.0,1
2013-06-24,CINF,15.0,1
2013-06-24,WPX,16.0,1
2013-06-24,DNB,17.0,1
2013-06-24,ZION,18.0,1
2013-06-24,AVP,19.0,1
2013-06-24,AVY,20.0,1
2013-07-22,MJN,1.0,1
2013-07-22,NFLX,2.0,1
2013-07-22,FSLR,3.0,1
2013-07-22,CPB,4.0,1
2013-07-22,SWY,5.0,1
2013-07-22,PAYX,6.0,1
2013-07-22,GME,7.0,1
2013-07-22,DNB,8.0,1
2013-07-22,PBCT,9.0,1
2013-07-22,UNM,10.0,1
2013-07-22,CINF,11.0,1
2013-07-22,AMD,12.0,1
2013-07-22,HAS,13.0,1
2013-07-22,WPX,14.0,1
2013-07-22,LNC,15.0,1
2013-07-22,PEG,16.0,1
2013-07-22,NOC,17.0,1
2013-07-22,ZION,18.0,1
2013-07-22,DD,19.0,1
2013-07-22,BSX,20.0,1
2013-08-19,MJN,1.0,1
2013-08-19,GME,2.0,1
2013-08-19,SWY,3.0,1
2013-08-19,NOC,4.0,1
2013-08-19,NFLX,5.0,1
2013-08-19,PAYX,6.0,1
2013-08-19,BSX,7.0,1
2013-08-19,FDO,8.0,1
2013-08-19,DNB,9.0,1
2013-08-19,CPB,10.0,1
2013-08-19,DD,11.0,1
2013-08-19,LNC,12.0,1
2013-08-19,PBCT,13.0,1
2013-08-19,PBI,14.0,1
2013-08-19,WPX,15.0,1
2013-08-19,GPC,16.0,1
