date,ticker,cp_flag,exp_date,strike,mid
2024-01-02,AAPL,C,2024-01-26,100.0,87.36
2024-01-02,AAPL,C,2024-01-26,135.0,52.1
2024-01-02,AAPL,C,2024-01-26,145.0,39.71
2024-01-02,AAPL,C,2024-01-26,160.0,28.06
2024-01-02,AAPL,C,2024-01-26,165.0,22.95
2024-01-02,AAPL,C,2024-01-26,170.0,18.0
2024-01-02,AAPL,C,2024-01-26,175.0,11.5
2024-01-02,AAPL,C,2024-01-26,180.0,7.7
2024-01-02,AAPL,C,2024-01-26,185.0,4.2
2024-01-02,AAPL,C,2024-01-26,190.0,1.9
2024-01-02,AAPL,C,2024-01-26,195.0,0.67
2024-01-02,AAPL,C,2024-01-26,200.0,0.21
2024-01-02,AAPL,C,2024-01-26,205.0,0.09
2024-01-02,AAPL,C,2024-01-26,210.0,0.05
2024-01-02,AAPL,C,2024-01-26,215.0,0.04
2024-01-02,AAPL,C,2024-01-26,220.0,0.02
2024-01-02,AAPL,C,2024-01-26,225.0,0.01
2024-01-02,AAPL,C,2024-01-26,230.0,0.02
2024-01-02,AAPL,C,2024-01-26,235.0,0.01
2024-01-02,AAPL,C,2024-01-26,240.0,0.02
2024-01-02,AAPL,C,2024-01-26,245.0,0.01
2024-01-02,AAPL,P,2024-01-26,115.0,0.02
2024-01-02,AAPL,P,2024-01-26,120.0,0.01
2024-01-02,AAPL,P,2024-01-26,125.0,0.02
2024-01-02,AAPL,P,2024-01-26,130.0,0.02
2024-01-02,AAPL,P,2024-01-26,135.0,0.02
2024-01-02,AAPL,P,2024-01-26,140.0,0.03
2024-01-02,AAPL,P,2024-01-26,145.0,0.05
2024-01-02,AAPL,P,2024-01-26,150.0,0.08
2024-01-02,AAPL,P,2024-01-26,155.0,0.1
2024-01-02,AAPL,P,2024-01-26,160.0,0.13
2024-01-02,AAPL,P,2024-01-26,165.0,0.21
2024-01-02,AAPL,P,2024-01-26,170.0,0.44
2024-01-02,AAPL,P,2024-01-26,175.0,0.86
2024-01-02,AAPL,P,2024-01-26,180.0,1.71
2024-01-02,AAPL,P,2024-01-26,185.0,3.55
2024-01-02,AAPL,P,2024-01-26,190.0,6.55
2024-01-02,AAPL,P,2024-01-26,195.0,9.71
2024-01-02,AAPL,P,2024-01-26,200.0,14.5
2024-01-02,AAPL,P,2024-01-26,205.0,18.75
2024-01-02,AAPL,P,2024-01-26,220.0,34.63
2024-01-02,AAPL,P,2024-01-26,240.0,54.2
