strategy_id,date,cash,equity,daily_pnl
D10,2016-04-29,10081770.01,9999596.01,-403.99
D20,2016-04-29,10113919.3,10001842.3,1842.3
D10,2016-05-02,10081858.03,10021189.03,21593.02
D20,2016-05-02,10114007.59,10025182.59,23340.3
D10,2016-05-03,10081942.05,10015216.05,-5972.98
D20,2016-05-03,10114091.87,10024509.87,-672.72
D10,2016-05-04,10082018.06,10000655.06,-14560.99
D20,2016-05-04,10114168.13,9995189.13,-29320.74
D10,2016-05-05,10082098.08,10005862.08,5207.02
D20,2016-05-05,10114248.4,10007598.4,12409.27
D10,2016-05-06,10082174.09,10024928.09,19066.02
D20,2016-05-06,10114324.66,10034893.66,27295.26
D10,2016-05-09,10082270.11,10016892.11,-8035.98
D20,2016-05-09,10114420.99,10026691.99,-8201.67
D10,2016-05-10,10082366.13,10034806.13,17914.02
D20,2016-05-10,10114517.32,10040312.32,13620.33
D10,2016-05-11,10082470.16,10038334.16,3528.02
D20,2016-05-11,10114621.67,10064549.67,24237.36
D10,2016-05-12,10082578.19,10034900.19,-3433.97
D20,2016-05-12,10114730.04,10048387.04,-16162.63
D10,2016-05-13,10082690.21,10033953.21,-946.97
D20,2016-05-13,10114842.43,10041846.43,-6540.61
D10,2016-05-16,10082802.24,10050601.24,16648.03
D20,2016-05-16,10114954.82,10059676.82,17830.39
D10,2016-05-17,10082914.27,10041722.27,-8878.97
D20,2016-05-17,10115067.2,10063446.2,3769.39
D10,2016-05-18,10083034.31,10037140.31,-4581.97
D20,2016-05-18,10115187.62,10042152.62,-21293.58
D10,2016-05-19,10083154.35,10044716.35,7576.04
D20,2016-05-19,10115308.04,10056366.04,14213.42
D10,2016-05-20,9585276.06,10075972.06,31255.72
D20,2016-05-20,8119311.14,10098601.14,42235.1
D10,2016-05-23,9585409.19,10074943.19,-1028.87
D20,2016-05-23,8119423.91,10097599.91,-1001.23
D10,2016-05-24,9585542.32,10081052.32,6109.13
D20,2016-05-24,8119536.68,10077689.68,-19910.23
D10,2016-05-25,9585667.85,10085161.85,4109.52
D20,2016-05-25,8119643.01,10093002.01,15312.33
D10,2016-05-26,9585781.96,10084113.96,-1047.88
D20,2016-05-26,8119739.67,10096691.67,3689.66
D10,2016-05-27,9585899.88,10085891.88,1777.92
D20,2016-05-27,8119839.56,10093893.56,-2798.11
D10,2016-05-31,9586029.22,10087847.22,1955.33
D20,2016-05-31,8119949.11,10093268.11,-625.45
D10,2016-06-01,9586143.33,10085969.33,-1877.88
D20,2016-06-01,8120045.77,10093532.77,264.67
D10,2016-06-02,9586249.85,10085079.85,-889.49
D20,2016-06-02,8120136.0,10091146.0,-2386.78
D10,2016-06-03,9586360.17,10083364.17,-1715.68
D20,2016-06-03,8120229.44,10137300.44,46154.45
D10,2016-06-06,9586466.68,10086458.68,3094.52
D20,2016-06-06,8120319.67,10141805.67,4505.22
D10,2016-06-07,9586573.2,10086897.2,438.52
D20,2016-06-07,8120409.89,10131944.89,-9860.77
D10,2016-06-08,9586664.5,10089810.5,2913.3
D20,2016-06-08,8120487.23,10143039.23,11094.34
D10,2016-06-09,9586759.6,10088743.6,-1066.89
D20,2016-06-09,8120567.79,10151005.79,7966.56
D10,2016-06-10,9586854.71,10085518.71,-3224.89
D20,2016-06-10,8120648.35,10141923.35,-9082.44
D10,2016-06-13,9586957.43,10082135.43,-3383.28
D20,2016-06-13,8120735.36,10139929.36,-1993.99
D10,2016-06-14,9587060.14,10092364.14,10228.72
D20,2016-06-14,8120822.37,10144173.37,4244.01
D10,2016-06-15,9587159.06,10094953.06,2588.91
D20,2016-06-15,8120906.15,10160416.15,16242.79
D10,2016-06-16,9587261.78,10095885.78,932.72
D20,2016-06-16,8120993.16,10157410.16,-3005.99
D10,2016-06-17,9587360.69,10095320.69,-565.08
D20,2016-06-17,8121076.95,10158365.95,955.79
D10,2016-06-20,9587467.22,10099245.22,3924.53
D20,2016-06-20,8121167.19,10160192.19,1826.23
D10,2016-06-21,9587569.94,10101173.94,1928.72
D20,2016-06-21,8121254.2,10154434.2,-5757.99
D10,2016-06-22,9587672.67,10098620.67,-2553.28
D20,2016-06-22,8121341.21,10163221.21,8787.01
D10,2016-06-23,9587786.81,10105540.81,6920.14
D20,2016-06-23,8121437.89,10169819.89,6598.68
D10,2016-06-24,9587885.73,10082897.73,-22643.08
D20,2016-06-24,8121521.69,10145247.69,-24572.21
