strategy_id,date,ticker,event,detail,cash_change,shares_change
D10,2016-04-29,AAPL,SELL_PUT,exp=2016-05-20 K=88.00 prem=0.95 x56,5320.0,0
D10,2016-04-29,MSFT,SELL_PUT,exp=2016-05-20 K=46.00 prem=0.17 x108,1836.0,0
D10,2016-04-29,AMZN,SELL_PUT,exp=2016-05-20 K=635.00 prem=7.85 x7,5495.0,0
D10,2016-04-29,JNJ,SELL_PUT,exp=2016-05-20 K=109.00 prem=0.69 x45,3105.0,0
D10,2016-04-29,GE,SELL_PUT,exp=2016-05-20 K=30.00 prem=0.25 x166,4150.0,0
D10,2016-04-29,WMT,SELL_PUT,exp=2016-05-20 K=63.50 prem=0.51 x78,3978.0,0
D10,2016-04-29,PG,SELL_PUT,exp=2016-05-20 K=77.50 prem=0.44 x64,2816.0,0
D10,2016-04-29,KO,SELL_PUT,exp=2016-05-20 K=42.50 prem=0.11 x117,1287.0,0
D10,2016-04-29,HD,SELL_PUT,exp=2016-05-20 K=129.00 prem=1.81 x38,6878.0,0
D10,2016-04-29,PFE,SELL_PUT,exp=2016-05-20 K=30.50 prem=0.14 x164,2296.0,0
D10,2016-04-29,ORCL,SELL_PUT,exp=2016-05-20 K=38.00 prem=0.25 x132,3300.0,0
D10,2016-04-29,MO,SELL_PUT,exp=2016-05-20 K=60.00 prem=0.23 x83,1909.0,0
D10,2016-04-29,BAC,SELL_PUT,exp=2016-05-20 K=13.50 prem=0.10 x371,3710.0,0
D10,2016-04-29,PEP,SELL_PUT,exp=2016-05-20 K=99.00 prem=0.37 x50,1850.0,0
D10,2016-04-29,ABBV,SELL_PUT,exp=2016-05-20 K=58.00 prem=0.75 x86,6450.0,0
D10,2016-04-29,IBM,SELL_PUT,exp=2016-05-20 K=139.00 prem=0.90 x36,3240.0,0
D10,2016-04-29,DIS,SELL_PUT,exp=2016-05-20 K=98.50 prem=0.95 x51,4845.0,0
D10,2016-04-29,NEM,SELL_PUT,exp=2016-05-20 K=33.00 prem=0.91 x152,13832.0,0
D10,2016-04-29,MRK,SELL_PUT,exp=2016-05-20 K=52.50 prem=0.39 x95,3705.0,0
D10,2016-04-29,MCD,SELL_PUT,exp=2016-05-20 K=120.00 prem=0.40 x42,1680.0,0
D20,2016-04-29,AAPL,SELL_PUT,exp=2016-05-20 K=89.00 prem=0.86 x56,4816.0,0
D20,2016-04-29,MSFT,SELL_PUT,exp=2016-05-20 K=47.50 prem=0.30 x105,3150.0,0
D20,2016-04-29,AMZN,SELL_PUT,exp=2016-05-20 K=635.00 prem=7.85 x7,5495.0,0
D20,2016-04-29,JNJ,SELL_PUT,exp=2016-05-20 K=110.00 prem=0.92 x45,4140.0,0
D20,2016-04-29,GE,SELL_PUT,exp=2016-05-20 K=30.00 prem=0.25 x166,4150.0,0
D20,2016-04-29,WMT,SELL_PUT,exp=2016-05-20 K=64.50 prem=0.83 x77,6391.0,0
D20,2016-04-29,PG,SELL_PUT,exp=2016-05-20 K=78.50 prem=0.73 x63,4599.0,0
D20,2016-04-29,KO,SELL_PUT,exp=2016-05-20 K=43.00 prem=0.14 x116,1624.0,0
D20,2016-04-29,HD,SELL_PUT,exp=2016-05-20 K=131.00 prem=2.20 x38,8360.0,0
D20,2016-04-29,PFE,SELL_PUT,exp=2016-05-20 K=31.50 prem=0.34 x159,5406.0,0
D20,2016-04-29,ORCL,SELL_PUT,exp=2016-05-20 K=38.50 prem=0.42 x130,5460.0,0
D20,2016-04-29,MO,SELL_PUT,exp=2016-05-20 K=61.00 prem=0.43 x82,3526.0,0
D20,2016-04-29,BAC,SELL_PUT,exp=2016-05-20 K=14.00 prem=0.13 x359,4667.0,0
D20,2016-04-29,PEP,SELL_PUT,exp=2016-05-20 K=101.00 prem=0.75 x49,3675.0,0
D20,2016-04-29,ABBV,SELL_PUT,exp=2016-05-20 K=59.00 prem=0.83 x85,7055.0,0
D20,2016-04-29,IBM,SELL_PUT,exp=2016-05-20 K=141.00 prem=1.92 x35,6720.0,0
D20,2016-04-29,DIS,SELL_PUT,exp=2016-05-20 K=100.00 prem=1.18 x50,5900.0,0
D20,2016-04-29,NEM,SELL_PUT,exp=2016-05-20 K=34.00 prem=1.35 x148,19980.0,0
